provincia,dedicacion,tipo_contrato,salario_bruto_ars,salario_neto_ars,sueldo_dolarizado,seniority,rol,anios_experiencia,modalidad,genero,tamanio_empresa,lenguajes,conformidad_ingresos,buscando_trabajo,lenguaje_principal,experiencia_bucket
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5600000.0,,True,Semi-Senior,Business Analyst,5,100% remoto,Mujer Cis,De 1001 a 2000 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,6000000.0,True,Senior,UX/UI Designer,25,100% remoto,Mujer Cis,De 11  a 50  personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,7000000.0,6000000.0,True,Senior,Developer,10,100% remoto,Hombre Cis,De 11  a 50  personas,"Python, SQL",4,"No, estoy muy conforme.",Python,6-10 años
Córdoba,Full-Time,Staff (planta permanente),5000000.0,3800000.0,True,Senior,Developer,10,100% remoto,Mujer Cis,Más de 10000 personas,"CSS, HTML, Javascript, TypeScript",3,"No, pero escucho ofertas.",CSS,6-10 años
Mendoza,Part-Time,Freelance,3200000.0,3000000.0,True,Semi-Senior,Developer,5,100% remoto,Mujer Cis,De 11  a 50  personas,"CSS, HTML, Javascript, PHP, SQL, TypeScript",4,"No, pero escucho ofertas.",CSS,3-5 años
Buenos Aires,Full-Time,Contractor,1725000.0,1725000.0,True,Junior,UX/UI Designer,2,100% remoto,Mujer Cis,De 2 a 10 personas,"HTML, Javascript, Python",4,"No, estoy muy conforme.",HTML,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),3100000.0,2600000.0,True,Senior,SysAdmin / DevOps / SRE,10,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,"PHP, Python",3,"No, pero escucho ofertas.",PHP,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2899000.0,2752000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Java, Javascript, TypeScript",3,"No, pero escucho ofertas.",Java,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1343100.0,1210000.0,True,Senior,Developer,7,100% remoto,Hombre Cis,De 11  a 50  personas,"Bash/Shell, HTML, Javascript, PHP, Rust",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000.0,1500000.0,True,Semi-Senior,Business Analyst,5,Híbrido (presencial y remoto),Mujer Cis,Más de 10000 personas,SQL,1,"Sí, estoy buscando activamente.",SQL,3-5 años
Córdoba,Full-Time,Staff (planta permanente),9000000.0,7000000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,5,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,"Go, PHP, Python, SQL",3,"No, pero escucho ofertas.",Go,3-5 años
Córdoba,Full-Time,Contractor,4118000.0,3830000.0,True,Semi-Senior,SysAdmin / DevOps / SRE,4,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,".NET, C, C#, Javascript, Python, SQL, TypeScript",2,"Sí, estoy buscando activamente.",.NET,3-5 años
Córdoba,Full-Time,Staff (planta permanente),5029296.68,3991748.0,True,Semi-Senior,Data Scientist,3,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Python, SQL",4,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5605500.0,4384301.0,True,Senior,Data Engineer,15,100% remoto,Hombre Cis,De 2001a 5000 personas,"Python, SQL",3,"No, estoy muy conforme.",Python,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2800000.0,2800000.0,True,Senior,Manager / Director,12,100% remoto,Mujer Cis,De 2 a 10 personas,HTML,3,"No, estoy muy conforme.",HTML,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5550000.0,5400000.0,True,Senior,SysAdmin / DevOps / SRE,10,100% remoto,Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6768000.0,6768000.0,True,Senior,Developer,17,100% remoto,Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript, SQL, TypeScript",4,"No, pero escucho ofertas.",CSS,10+ años
Buenos Aires,Full-Time,Staff (planta permanente),7541338.0,5752300.0,True,Senior,Technical Leader,30,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, C, CSS, HTML, Javascript, PHP, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Freelance,10000000.0,8600000.0,True,Senior,SysAdmin / DevOps / SRE,14,100% remoto,Hombre Cis,1 (solamente yo),"Bash/Shell, Javascript, PHP, Python, SQL, TypeScript",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Mendoza,Full-Time,Contractor,2560000.0,2560000.0,True,Semi-Senior,Business Analyst,3,100% remoto,Hombre Cis,De 201 a 500 personas,Ninguno de los anteriores,4,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,2480000.0,2480000.0,True,Senior,HRBP,10,100% remoto,Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),12000000.0,12000000.0,True,Senior,Architect,24,100% presencial,Hombre Cis,De 11  a 50  personas,"Assembler, Bash/Shell, Javascript, Perl, SQL, Swift, TypeScript, VBA",4,"No, pero escucho ofertas.",Assembler,10+ años
San Juan,Full-Time,Staff (planta permanente),2295390.0,2088495.0,True,Senior,Developer,12,100% remoto,Hombre Cis,De 11  a 50  personas,Java,2,"No, pero escucho ofertas.",Java,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4300000.0,4000000.0,True,Senior,Developer,13,100% remoto,Hombre Cis,De 201 a 500 personas,"HTML, Java, Javascript, SQL, TypeScript",3,"No, pero escucho ofertas.",HTML,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2700000.0,3300000.0,True,Senior,UX/UI Designer,9,100% remoto,Mujer Cis,De 2001a 5000 personas,Ninguno de los anteriores,3,"Sí, estoy buscando activamente.",Ninguno de los anteriores,6-10 años
Córdoba,Full-Time,Staff (planta permanente),3300000.0,3000000.0,True,Junior,UX Researcher,1,100% remoto,Hombre Cis,De 2001a 5000 personas,"Python, SQL",4,"No, pero escucho ofertas.",Python,0-2 años
Buenos Aires,Full-Time,Staff (planta permanente),7250000.0,7250000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,Más de 10000 personas,"Bash/Shell, Go, HTML, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3317061.0,2377106.0,True,Semi-Senior,Developer,3,100% remoto,Hombre Cis,De 501 a 1000 personas,"Bash/Shell, Groovy, Python",2,"Sí, estoy buscando activamente.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Contractor,11890000.0,10000000.0,True,Senior,Architect,18,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, CSS, HTML, Javascript, Ruby, SQL",4,"No, pero escucho ofertas.",Bash/Shell,10+ años
Santa Fe,Full-Time,Contractor,6000000.0,6000000.0,True,Semi-Senior,Developer,4,100% remoto,Mujer Cis,De 501 a 1000 personas,"Bash/Shell, CSS, HTML, Javascript",4,"No, estoy muy conforme.",Bash/Shell,3-5 años
Buenos Aires,Full-Time,Contractor,6000000.0,5500000.0,True,Senior,Scrum Master,6,100% remoto,Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,2,"Sí, estoy buscando activamente.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1685000.0,1685000.0,True,Senior,SysAdmin / DevOps / SRE,28,100% remoto,Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1301030.0,1112899.0,True,Semi-Senior,QA / Tester,3,100% remoto,Mujer Cis,Más de 10000 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3403299.0,2884741.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 501 a 1000 personas,"Go, Javascript, Python",4,"No, estoy muy conforme.",Go,3-5 años
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),4200000.0,3600000.0,True,Senior,Architect,30,Híbrido (presencial y remoto),Hombre Cis,De 501 a 1000 personas,".NET, Bash/Shell, C#, COBOL, Java, Javascript, Kotlin, Objective-C, Python, Scala, SQL, TypeScript, VBA",3,"No, estoy muy conforme.",.NET,10+ años
Chaco,Full-Time,Staff (planta permanente),3450000.0,3000000.0,True,Semi-Senior,QA / Tester,4,100% remoto,Hombre Cis,De 1001 a 2000 personas,Python,4,"No, estoy muy conforme.",Python,3-5 años
Córdoba,Full-Time,Staff (planta permanente),3700000.0,2900000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,Más de 10000 personas,"Go, Java",2,"No, pero escucho ofertas.",Go,3-5 años
Córdoba,Full-Time,Staff (planta permanente),5000000.0,,True,Senior,Manager / Director,17,100% remoto,Mujer Cis,De 51 a 100 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Buenos Aires,Full-Time,Contractor,3600000.0,3240000.0,True,Senior,Developer,7,100% remoto,Hombre Cis,De 2 a 10 personas,"Bash/Shell, CSS, HTML, Java, PHP, SQL, TypeScript",4,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Córdoba,Full-Time,Staff (planta permanente),4200000.0,3000000.0,True,Senior,Developer,7,100% remoto,Hombre Cis,De 11  a 50  personas,"Arduino, Go, HTML, Java, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",Arduino,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9425000.0,9300000.0,True,Senior,SysAdmin / DevOps / SRE,14,100% remoto,Hombre Cis,De 101 a 200 personas,"Bash/Shell, Go, Python, SQL",4,"No, estoy muy conforme.",Bash/Shell,10+ años
Mendoza,Full-Time,Staff (planta permanente),1757000.0,1500000.0,True,Senior,SysAdmin / DevOps / SRE,30,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4832999.0,3600000.0,True,Senior,Infosec,8,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,Ninguno de los anteriores,3,"No, estoy muy conforme.",Ninguno de los anteriores,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3000000.0,2500000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 51 a 100 personas,"Bash/Shell, CSS, HTML, Javascript, SQL, TypeScript",2,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2182500.0,2182500.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, PHP, Python, SQL",2,"No, pero escucho ofertas.",Javascript,3-5 años
Mendoza,Full-Time,Contractor,6000000.0,6000000.0,True,Senior,Developer,17,100% remoto,Hombre Cis,De 101 a 200 personas,"CSS, HTML, Javascript, TypeScript, GraphQL",3,"No, pero escucho ofertas.",CSS,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000.0,3300000.0,True,Senior,Developer,12,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,".NET, Bash/Shell, HTML, PHP, Python, Ruby, SQL",2,"Sí, estoy buscando activamente.",.NET,10+ años
Misiones,Full-Time,Staff (planta permanente),2300000.0,1800000.0,True,Semi-Senior,UX/UI Designer,5,100% remoto,Mujer Cis,De 2001a 5000 personas,Ninguno de los anteriores,1,"Sí, estoy buscando activamente.",Ninguno de los anteriores,3-5 años
Mendoza,Full-Time,Contractor,7000000.0,6500000.0,True,Semi-Senior,AI Engineer,5,100% remoto,Hombre Cis,De 101 a 200 personas,Python,3,"No, pero escucho ofertas.",Python,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000.0,4100000.0,True,Semi-Senior,Networking,3,100% remoto,Mujer Cis,De 101 a 200 personas,Bash/Shell,3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,4800000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 51 a 100 personas,"Javascript, Python, SQL, TypeScript",2,"Sí, estoy buscando activamente.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,6750000.0,6412500.0,True,Senior,Developer,7,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, TypeScript",2,"No, pero escucho ofertas.",Javascript,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1766133.0,1326986.0,True,Semi-Senior,BI Analyst / Data Analyst,3,Híbrido (presencial y remoto),Mujer Cis,Más de 10000 personas,Ninguno de los anteriores,3,"No, pero escucho ofertas.",Ninguno de los anteriores,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3309700.0,2734100.0,True,Semi-Senior,Developer,3,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"CSS, HTML, Java, Javascript, Scala, TypeScript, VBA",3,"No, pero escucho ofertas.",CSS,3-5 años
Córdoba,Full-Time,Contractor,4386000.0,4386000.0,True,Senior,BI Analyst / Data Analyst,8,100% remoto,Hombre Cis,De 11  a 50  personas,Python,2,"Sí, estoy buscando activamente.",Python,6-10 años
Buenos Aires,Full-Time,Contractor,6300000.0,6300000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 101 a 200 personas,"Javascript, Kotlin, SQL, TypeScript",3,"No, pero escucho ofertas.",Javascript,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),4706122.0,3906082.0,True,Junior,Manager / Director,2,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,Ninguno de los anteriores,3,"No, estoy muy conforme.",Ninguno de los anteriores,0-2 años
Buenos Aires,Full-Time,Contractor,3000000.0,2600000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 51 a 100 personas,"CSS, HTML, Javascript, TypeScript",4,"No, estoy muy conforme.",CSS,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),4316000.0,3037000.0,True,Semi-Senior,Developer,4,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Java, Javascript, SQL",4,"No, estoy muy conforme.",Java,3-5 años
Chubut,Full-Time,Staff (planta permanente),1900000.0,1900000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 501 a 1000 personas,"CSS, HTML, Javascript, PHP, Python, Twig",1,"Sí, estoy buscando activamente.",CSS,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1350000.0,1100000.0,True,Junior,Developer,0,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,Java,2,"No, pero escucho ofertas.",Java,0-2 años
Córdoba,Full-Time,Staff (planta permanente),2400000.0,2400000.0,True,Semi-Senior,Developer,3,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,"Javascript, Python, R, SQL",3,"No, pero escucho ofertas.",Javascript,3-5 años
Buenos Aires,Full-Time,Contractor,3600000.0,3600000.0,True,Senior,Manager / Director,6,100% remoto,Hombre Cis,De 2 a 10 personas,"CSS, HTML, Javascript, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",CSS,6-10 años
Buenos Aires,Full-Time,Staff (planta permanente),4500000.0,4500000.0,True,Senior,Developer,8,Híbrido (presencial y remoto),Hombre Cis,De 2001a 5000 personas,"Bash/Shell, Java, Javascript, Kotlin, Python, SQL, TypeScript",2,"No, pero escucho ofertas.",Bash/Shell,6-10 años
Buenos Aires,Full-Time,Freelance,8000000.0,3000000.0,True,Semi-Senior,Consultant,3,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,C++,4,"No, pero escucho ofertas.",C++,3-5 años
Chaco,Full-Time,Staff (planta permanente),1980000.0,1720000.0,True,Semi-Senior,BI Analyst / Data Analyst,3,100% remoto,Mujer Cis,De 2001a 5000 personas,SQL,1,"No, pero escucho ofertas.",SQL,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3704778.0,3144965.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 51 a 100 personas,".NET, C#, CSS, HTML, Javascript, TypeScript",3,"No, pero escucho ofertas.",.NET,3-5 años
La Rioja,Full-Time,Staff (planta permanente),3000000.0,2500000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2001a 5000 personas,"Javascript, Swift",2,"No, pero escucho ofertas.",Javascript,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,5000000.0,5000000.0,True,Senior,SysAdmin / DevOps / SRE,20,100% remoto,Hombre Cis,De 201 a 500 personas,"Bash/Shell, Java, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,10+ años
Mendoza,Full-Time,Freelance,2200000.0,2200000.0,True,Semi-Senior,Developer,4,100% remoto,Hombre Cis,De 2 a 10 personas,"Javascript, Python, TypeScript",3,"No, pero escucho ofertas.",Javascript,3-5 años
Córdoba,Full-Time,Staff (planta permanente),6557000.0,5162000.0,True,Semi-Senior,Developer,5,100% remoto,Hombre Cis,De 501 a 1000 personas,"HTML, Javascript, Python, TypeScript",3,"No, pero escucho ofertas.",HTML,3-5 años
Santa Fe,Full-Time,Contractor,1900000.0,1850000.0,True,Semi-Senior,QA / Tester,3,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, Javascript",4,"No, pero escucho ofertas.",.NET,3-5 años
Buenos Aires,Full-Time,Staff (planta permanente),4944960.0,3860040.0,True,Senior,Infosec,22,Híbrido (presencial y remoto),Hombre Cis,De 1001 a 2000 personas,"Bash/Shell, Python",2,"No, pero escucho ofertas.",Bash/Shell,10+ años
Tucumán,Full-Time,Contractor,2500000.0,,True,Senior,Recruiter,11,100% remoto,Mujer Cis,De 201 a 500 personas,Ninguno de los anteriores,2,"No, pero escucho ofertas.",Ninguno de los anteriores,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),5472000.0,4700000.0,True,Semi-Senior,Data Engineer,3,100% remoto,Hombre Cis,De 101 a 200 personas,"Bash/Shell, Python, SQL",3,"No, pero escucho ofertas.",Bash/Shell,3-5 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2877788.0,2377193.0,True,Senior,Developer,7,Híbrido (presencial y remoto),Hombre Cis,De 11  a 50  personas,".NET, C#, SQL",1,"Sí, estoy buscando activamente.",.NET,6-10 años
Río Negro,Full-Time,Staff (planta permanente),1500000.0,1400000.0,True,Junior,Business Analyst,1,100% presencial,Hombre Cis,De 2 a 10 personas,"Java, Javascript, Python, SQL",2,"No, pero escucho ofertas.",Java,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1470000.0,1000000.0,True,Senior,Manager / Director,18,100% remoto,Mujer Cis,De 201 a 500 personas,"HTML, Javascript",3,"No, estoy muy conforme.",HTML,10+ años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,2154703.5,2154703.5,True,Junior,Data Scientist,1,Híbrido (presencial y remoto),Hombre Cis,De 51 a 100 personas,"Python, R, SQL",4,"No, estoy muy conforme.",Python,0-2 años
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4500000.0,,True,Senior,Developer,18,100% remoto,Hombre Cis,De 11  a 50  personas,".NET, C#, HTML, Java, Javascript, SQL, TypeScript",2,"No, pero escucho ofertas.",.NET,10+ años
Mendoza,Full-Time,Contractor,1765000.0,1615000.0,True,Junior,Developer,2,Híbrido (presencial y remoto),Hombre Cis,De 101 a 200 personas,"CSS, HTML, Javascript, PHP, SQL",2,"Sí, estoy buscando activamente.",CSS,0-2 años
La Rioja,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2964000.0,2850000.0,True,Senior,Developer,8,100% remoto,Hombre Cis,De 11  a 50  personas,"CSS, HTML, Javascript, PHP, SQL",2,"Sí, estoy buscando activamente.",CSS,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6414000.0,4801000.0,True,Senior,Developer,12,Híbrido (presencial y remoto),Hombre Cis,De 201 a 500 personas,"Bash/Shell, Javascript, Python, SQL",3,"No, estoy muy conforme.",Bash/Shell,10+ años
Buenos Aires,Full-Time,Contractor,7256389.0,7256389.0,True,Senior,Developer,8,100% remoto,Hombre Cis,De 1001 a 2000 personas,"Javascript, Python",4,"No, estoy muy conforme.",Javascript,6-10 años
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3482641.0,2804092.0,True,Senior,Developer,13,100% remoto,Mujer Cis,Más de 10000 personas,".NET, C#, Javascript, SQL, TypeScript",2,"Sí, estoy buscando activamente.",.NET,10+ años
Santa Fe,Full-Time,Staff (planta permanente),4100000.0,3500000.0,True,Senior,Developer,11,100% remoto,Hombre Cis,De 201 a 500 personas,".NET, C#, CSS, HTML, Javascript, TypeScript",2,"No, pero escucho ofertas.",.NET,10+ años
